Nom	Descriptif et modalités	Années
SURCHAMP	Pour la santé humaine, les chps magnétiques générés par les appareils éléctriques domestiques semblent ?	2014
	1- Plutôt sûrs	
	2- Plutôt pas sûrs	
	3- Ne sait pas / Ne répond pas	
SURTELMO	Pour la santé humaine, les téléphones mobiles semblent ?	2014
	1- Plutôt sûrs	
	2- Plutôt pas sûrs	
	3- Ne sait pas / Ne répond pas	
SURWIFI	Pour la santé humaine, les réseaux wi-fi à l'intérieur des maisons semblent ?	2014
	1- Plutôt sûrs	
	2- Plutôt pas sûrs	
	3- Ne sait pas / Ne répond pas	
TABLETTE	Disposez-vous d'une tablette tactile ?	2011 2012 2013 2014 2015 2016
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
TARIFSOC	Les personnes à très faibles revenus devraient-elles bénéficier d’un tarif moins cher pour avoir internet à domicile ?	2011
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
TEL1ADSL	Accédez-vous à la télévision par ADSL ? (poste principal)	2012 2013 2014
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
TEL1CABL	Accédez-vous à la télévision par câble ? (poste principal)	2012 2013 2014
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
TEL1CLAS	Accédez-vous à la télévision par antenne classique ? (poste principal)	2012 2013 2014
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
TEL1OPTI	Accédez-vous à la télévision par fibre optique ? (poste principal)	2012 2013 2014
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
TEL1PRIN	Quel est le mode d'accès principal à la télévision? (poste principal)	2012
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
TEL1SATE	Accédez-vous à la télévision par antenne satellite ? (poste principal)	2012 2013 2014
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
TEL2ADSL	Accédez-vous à la télévision par ADSL ? (deuxième poste)	2012 2013 2014
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
TEL2CABL	Accédez-vous à la télévision par câble ? (deuxième poste)	2012 2013 2014
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
TEL2CLAS	Accédez-vous à la télévision par antenne classique ? (deuxième poste)	2012 2013 2014
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
TEL2OPTI	Accédez-vous à la télévision par fibre optique ? (deuxième poste)	2012 2013 2014
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
TEL2PRIN	Quel est le mode d'accès principal à la télévision? (deuxième poste)	2012
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
TEL2SATE	Accédez-vous à la télévision par antenne satellite ? (deuxième poste)	2012 2013 2014
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
TEL3ADSL	Accédez-vous à la télévision par ADSL ? (autre poste)	2012 2013 2014
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
TEL3CABL	Accédez-vous à la télévision par câble ? (autre poste)	2012 2013 2014
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
TEL3CLAS	Accédez-vous à la télévision par antenne classique ? (autre poste)	2012 2013 2014
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
TEL3OPTI	Accédez-vous à la télévision par fibre optique ? (autre poste)	2012 2013 2014
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
TEL3SATE	Accédez-vous à la télévision par antenne satellite ? (autre poste)	2012 2013 2014
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
TELECHLOGIC	Avez-vous téléchargé des logiciels sur Internet ? (12 derniers mois)	2007 2008 2009
	1- Oui	
	2- Non	
TELE_ADSL	Accédez-vous, chez vous, à la télévision par l'ADSL ?	2007 2008 2009 2010 2011
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
TELE_ANTEN	Accédez-vous, chez vous, à la télévision par antenne classique ?	2007 2008 2009 2010 2011
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
TELE_CABLE	Accédez-vous, chez vous, à la télévision par le câble ?	2007 2008 2009 2010 2011
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
TELE_SAT	Accédez-vous, chez vous, à la télévision par satellite ?	2007 2008 2009 2010 2011
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
TELE_TNT	Accédez-vous, chez vous, à la télévision par décodeur TNT ?	2007 2008 2009 2010 2011
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
TELFIXE	Disposez-vous à domicile d'une ligne de téléphonie fixe ?	2007 2008 2009 2010 2011 2012 2013 2014 2015 2016
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
TELMOB	Avez-vous un téléphone mobile ?	2007 2008 2009 2010 2011 2012 2013 2014 2015 2016
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
TELVISIO	Téléphonez-vous par visioconférence ?	2011
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
TEL_BOX	Téléphonez-vous de votre domicile grâce à votre accès internet en utilisant un téléphone branché sur la Box ?	2007 2008 2009 2010 2011 2012 2013 2014   2016
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
TELE_FIBR	Accédez-vous à la télévision par la fibre optique ?	2011
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
THREATART	Pour la création artistique, Internet est une chance ou un menace ?	2008
	1- Une chance	
	2- Une menace	
	3- Ne sait pas / Ne répond pas	
THREATDEV	Pour l'environnement et le développement durable, Internet est une chance ou une menace ?	2008
	1- Une chance	
	2- Une menace	
	3- Ne sait pas / Ne répond pas	
THREATJOB	Pour l'emploi, les ordinateurs et Internet représente-t-il une chance ou une menace ?	2008
	1- Une chance	
	2- Une menace	
	3- Ne sait pas / Ne répond pas	
TICLOVE	Internet vous a-t-il permis de faire rencontre amoureuse ?	2014
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
TICNEW	Internet vous a-t-il permis de nouer des liens avec de nouvelles personnes ?	2014
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
TICOFJOB	Vous arrive-t-il d'utiliser les TIC pour des raisons professionnelles en dehors du travail ?	2013
	1- Oui, régulièrement	
	2- Oui, de temps en temps	
	3- Non, jamais	
	4- Ne sait pas / Ne répond pas	
TICOLD	Internet vous a-t-il permis de retrouver d'anciennes connaissances ?	2014
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
TICONCIL	Que pensez-vous de l'usage des TIC pour des besoin profesionnels en dehors du travail ?	2013
	1- Permet de mieux concilier vie privée et professionnelle	
	2- Empiète sur vie privée	
	3- Ne sait pas / Ne répond pas	
TM_BOOK	Occupez-vous les temps morts (transports) en lisant des livres ?	2013
	1- Souvent	
	2- De temps en temps	
	3- Jamais	
	4- Ne sait pas / Ne répond pas	
TM_GAME	Occupez-vous les temps morts (transports) en jouant à des jeux video ?	2013
	1- Souvent	
	2- De temps en temps	
	3- Jamais	
	4- Ne sait pas / Ne répond pas	
TM_LOOK	Occupez-vous les temps morts (transports) en observant les alentours ?	2013
	1- Souvent	
	2- De temps en temps	
	3- Jamais	
	4- Ne sait pas / Ne répond pas	
TM_MUSIC	Occupez-vous les temps morts (transports) en écoutant de la musique ?	2013
	1- Souvent	
	2- De temps en temps	
	3- Jamais	
	4- Ne sait pas / Ne répond pas	
TM_SMS	Occupez-vous les temps morts (transports) en envoyant des SMS ?	2013
	1- Souvent	
	2- De temps en temps	
	3- Jamais	
	4- Ne sait pas / Ne répond pas	
TM_TALK	Occupez-vous les temps morts (transports) en discutant ?	2013
	1- Souvent	
	2- De temps en temps	
	3- Jamais	
	4- Ne sait pas / Ne répond pas	
TM_TEL	Occupez-vous les temps morts (transports) en téléphonant ?	2013
	1- Souvent	
	2- De temps en temps	
	3- Jamais	
	4- Ne sait pas / Ne répond pas	
TM_VIDEO	Occupez-vous les temps morts (transports) en regardant des vidéos ?	2013
	1- Souvent	
	2- De temps en temps	
	3- Jamais	
	4- Ne sait pas / Ne répond pas	
TM_WEB	Occupez-vous les temps morts (transports) en naviguant sur internet ?	2013
	1- Souvent	
	2- De temps en temps	
	3- Jamais	
	4- Ne sait pas / Ne répond pas	
TPSBOOK	Jugement sur temps consacré aux livres ?	2012       2016
	1-  Trop de temps	
	2- Pas assez de temps	
	3- Le temps qu'il faut	
	4- Ne sait pas / Ne répond pas	
TPSFACEB	Jugement sur temps consacré aux réseaux sociaux ?	2016
	1-  Trop de temps	
	2- Pas assez de temps	
	3- Le temps qu'il faut	
	4- Ne sait pas / Ne répond pas	
TPSPRESS	Jugement sur temps consacré à presse écrite ?	2012       2016
	1-  Trop de temps	
	2- Pas assez de temps	
	3- Le temps qu'il faut	
	4- Ne sait pas / Ne répond pas	
TPSRADIO	Jugement sur temps consacré à radio ?	2012       2016
	1-  Trop de temps	
	2- Pas assez de temps	
	3- Le temps qu'il faut	
	4- Ne sait pas / Ne répond pas	
TPSTELE	Jugement sur temps consacré à télévision ?	2012       2016
	1-  Trop de temps	
	2- Pas assez de temps	
	3- Le temps qu'il faut	
	4- Ne sait pas / Ne répond pas	
TPSWEB	Jugement sur temps consacré à internet ?	2012       2016
	1-  Trop de temps	
	2- Pas assez de temps	
	3- Le temps qu'il faut	
	4- Ne sait pas / Ne répond pas	
TRANSINF	Pensez-vous que certains logiciels sur téléphone mobile peuvent transmettre des informations ?	2012   2014
	1- Oui, c'est sûr	
	2- Oui, c'est probable	
	3- Non, c'est peu probable	
	4- Non, ce n'est pas possible	
	5- Ne sait pas / Ne répond pas	
TVMOB	Avez-vous regardé la télévision en direct sur votre téléphone ? (12 derniers mois)	2014
	1- Oui	
	2- Non	
TVORDI	Avez-vous regardé la télévision en direct sur votre ordinateur ? (12 derniers mois)	2014
	1- Oui	
	2- Non	
TVTABL	Avez-vous regardé la télévision en direct sur votre tablette tactile ? (12 derniers mois)	2014
	1- Oui	
	2- Non	
TVTELE	Avez-vous regardé la télévision en direct sur votre télévision ? (12 derniers mois)	2014
	1- Oui	
	2- Non	
TV_ACHAT	Vous arrive-t-il de faire des achats en regardant la télévision ?	2013
	1- Souvent	
	2- De temps en temps	
	3- Jamais	
	4- Ne sait pas / Ne répond pas	
TV_AUTRE	Vous arrive-t-il de faire autre chose en regardant la télévision ?	2013
	1- Souvent	
	2- De temps en temps	
	3- Jamais	
	4- Ne sait pas / Ne répond pas	
TV_FACEB	Vous arrive-t-il de participer à des réseaux sociaux en regardant la télévision ?	2013
	1- Souvent	
	2- De temps en temps	
	3- Jamais	
	4- Ne sait pas / Ne répond pas	
TV_GAME	Vous arrive-t-il de jouer à des jeux vidéo en regardant la télévision ?	2013
	1- Souvent	
	2- De temps en temps	
	3- Jamais	
	4- Ne sait pas / Ne répond pas	
TV_PROG	Vous arrive-t-il de regarde les programmes tv en regardant la télévision ?	2013
	1- Souvent	
	2- De temps en temps	
	3- Jamais	
	4- Ne sait pas / Ne répond pas	
TV_SMS	Vous arrive-t-il d'envoyer des SMS en regardant la télévision ?	2013
	1- Souvent	
	2- De temps en temps	
	3- Jamais	
	4- Ne sait pas / Ne répond pas	
TV_TEL	Vous arrive-t-il de téléphoner en regardant la télévision ?	2013
	1- Souvent	
	2- De temps en temps	
	3- Jamais	
	4- Ne sait pas / Ne répond pas	
TV_WEB	Vous arrive-t-il de naviguer sur internet en regardant la télévision ?	2013
	1- Souvent	
	2- De temps en temps	
	3- Jamais	
	4- Ne sait pas / Ne répond pas	
TXAPPLI	Utilisation plus fréquente des applications ou des navigateurs ?	2016
	1- Plutôt à partir d'applications téléchargées	
	2- Plutôt à partir d'un moteur de recherche et de navigation sur internet	
	3- Autant l'un que l'autre	
	4- Ne sait pas / Ne répond pas	
TYPCONEX	Votre connexion à Internet est-elle ? (type de connexion)	2009 2010 2011 2012 2013 2014 2015
	1- Par une ligne bas débit	
	2- Par une ligne ADSL	
	3- Par le câble	
	4- Par la fibre optique	
	5- Par le satellite	
	6- Par un autre moyen	
	7- Ne sait pas / Ne répond pas	
TYPLOG	Type d'habitation (4 modalités)	2016
	1- Pavillon, habitat individuel	
	2- HLM, ILN	
	3- Immeuble (autre que HLM, ILN)	
	4- Autre	
TYPLOG2	Type d'habitation (2 modalités)	2016
	1- Maison individuelle	
	2- Logement collectif	
TYPOSQT	Typologie des niveaux de vie	2014 2015 2016
	1- Bas revenus	
	2- Classe moyenne inférieure	
	3- Classe moyenne supérieure	
	4- Hauts revenus	
	5- Ne sait pas / Ne répond pas	
USEJOB	Utilisez-vous internet sur le lieu de travail ou d'études…	2013
	1- Uniquement à des fins professionnelles ?	
	2- Uniquement à des fins personnelles ?	
	3- A la fois à des fins personnelles et professionnelles ?	
	4- Ne sait pas / Ne répond pas	
US_ACHAT	Avez-vous effectué des achats sur internet ? (12 derniers mois)	2007 2008 2009 2010 2011 2012 2013 2014 2015 2016
	1- Oui	
	2- Non	
US_ADMI	Avez-vous effectué des démarches administratives par Internet ? (12 mois)	2009 2010 2011 2012 2013 2014 2015 2016
	1- Oui	
	2- Non	
US_COL1	Usage internet : Noter/évaluer/commenter un produit acheté	2015
	1- Oui	
	2- Non	
US_COL2	Usage internet : consulter notes/évaluations/commentaires avant achat	2015
	1- Oui	
	2- Non	
US_COL3	Usage internet : proposer des biens ou services à des particuliers contre rémunération	2015
	1- Oui	
	2- Non	
US_COL4	Usage internet : recourir à un particulier pour bien ou services contre rémunération	2015
	1- Oui	
	2- Non	
US_COL5	Usage internet : échange entre particuliers sans rémunération	2015
	1- Oui	
	2- Non	
US_DOCAD	Avez-vous demandé des documents administratifs sur internet ? (12 derniers mois)	2010 2011 2012
	1- Oui	
	2- Non	
US_FACEB	Avez-vous participé à des réseaux sociaux sur Internet ? (12 derniers mois)	2009 2010 2011 2012 2013 2014 2015 2016
	1- Oui	
	2- Non	
US_FORME	Avez-vous utilisé Internet pour vous former ? (12 derniers mois)	2007 2008 2009 2010 2011         2016
	1- Oui	
	2- Non	
US_IMPOT	Avez-vous déclaré vos revenus sur Internet ? (12 derniers mois)	2010 2011 2012
	1- Oui	
	2- Non	
US_INFAD	Avez-vous cherché des informations administratives sur Internet ? (12 derniers mois)	2010 2011 2012
	1- Oui	
	2- Non	
US_JEUX	Avez-vous joué à des jeux en réseau sur Internet ? (12 derniers mois)	2007     2010   2012
	1- Oui	
	2- Non	
US_JOB	Avez-vous recherché des offres d'emploi sur Internet ? (12 derniers mois)	2007 2008 2009 2010 2011 2012 2013 2014 2015 2016
	1- Oui	
	2- Non	
US_MUSIC	Avez-vous écouté ou téléchargé de la musique ? (12 derniers mois)	2013 2014 2015 2016
	1- Oui	
	2- Non	
US_NEWS	Avez-vous suivi l'actualité sur Internet ? (12 derniers mois)	2012       2016
	1- Oui	
	2- Non	
US_PREPA	Vous êtes-vous informé en amont d'un achat ? (12 derniers mois)	2015
	1- Oui	
	2- Non	
US_RADIO	Avez-vous écouté la radio sur Internet ? (12 derniers mois)	2007
	1- Oui	
	2- Non	
US_SANTE	Avez-vous recherché des informations pour votre santé sur Internet ? (12 derniers mois)	2007       2011       2015
	1- Oui	
	2- Non	
US_STRFI	Avez-vous regardé des films en streaming sur Internet ? (12 derniers mois)	2010 2011 2012
	1- Oui	
	2- Non	
US_STRMU	Avec-vous écouté de la musique en streaming ? (12 derniers mois)	2010 2011 2012
	1- Oui	
	2- Non	
US_TELE	Avez-vous regardé la télévision par Internet sur votre ordinateur ? (12 derniers mois)	2007 2008 2009 2010 2011 2012 2013   2015
	1- Oui	
	2- Non	
US_TELFI	Avez-vous téléchargé des films sur Internet ? (12 derniers mois)	2007 2008 2009 2010 2011 2012
	1- Oui	
	2- Non	
US_TELMU	Avez-vous téléchargé de la musique sur Internet ? (12 derniers mois)	2007 2008 2009 2010 2011 2012
	1- Oui	
	2- Non	
US_VENTE	Avez-vous vendu un bien ou service sur Internet ? (12 derniers mois)	2011       2015
	1- Oui	
	2- Non	
US_VIDEO	Avez-vous regardé ou téléchargé des films ou vidéos sur Internet ? (12 derniers mois)	2013   2015
	1- Oui	
	2- Non	
US_WKHOM	Avez-vous travaillé à domicile sur Internet ? (12 derniers mois)	2007 2008   2010 2011   2013
	1- Oui	
	2- Non	
VIDEOMOB	Avez-vous regardé des videos (streaming, téléchargement) sur mobile ? (12 derniers mois)	2014
	1- Oui	
	2- Non	
VIDEORDI	Avez-vous regardé des videos (streaming, téléchargement) sur ordinateur ? (12 derniers mois)	2014
	1- Oui	
	2- Non	
VIDETABL	Avez-vous regardé des videos (streaming, téléchargement) sur tablette ? (12 derniers mois)	2014
	1- Oui	
	2- Non	
VIDETELE	Avez-vous regardé des videos (streaming, téléchargement) sur poste de télévision ? (12 derniers mois)	2014
	1- Oui	
	2- Non	
VIGIOND1	Etes-vous vigilant à : limiter la durée de vos appels ?	2014
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
VIGIOND2	Etes-vous vigilant à : éviter de téléphoner dans zones mal couvertes ?	2014
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
VIGIOND3	Etes-vous vigilant à : éloigner téléphone mobile ?	2014
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
VIGIOND4	Etes-vous vigilant à : éviter de téléphoner lors des déplacements ?	2014
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
WEBATTAQ	Avez-vous déjà été victime d'un accès indésirable à vos données ?	2014
	1- Oui, c'est sûr	
	2- Oui, c'est probable	
	3- Non, c'est peu probable	
	4- Non, ce n'est pas possible	
	5- Ne sait pas / Ne répond pas	
WEBAUTRE	Vous êtes-vous connecté à internet hors domicile et hors téléphone mobile ? (12 derniers mois)	2012 2013
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
WEBGENE	Vous est-il déjà arrivé d’être gêné que certains éléments de votre vie privée figurent sur internet ?	2014
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
WEBINTEG	Selon vous, avoir accès à internet est-il important pour se sentir intégré dans notre société ?	2009             2016
	1- Oui, c'est très important	
	2- Oui, c'est assez important	
	3- Non, ce n'est pas très important	
	4- Non, ce n'est pas du tout important	
	5- Ne sait pas / Ne répond pas	
WEBREGRE	Vous est-il déjà arrivé de regretter d’avoir publié ou écrit des choses concernant votre vie privée sur internet ?	2014
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
WEB_BURO	Avez-vous une connexion ou un accès à internet sur votre lieu de travail (ou d'études) ?	2007 2008 2009 2010 2011   2013
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
WHYFIXE	Est-ce important de disposer d'une ligne de téléphonie fixe à domicile ?	2016
	1- Très important	
	2- Assez important	
	3- Peu important	
	4- Pas du tout important	
	5- Ne sait pas / Ne répond pas	
WHYHG	Pour quelle raison principale utilisez-vous la messagerie instantanée ?	2016
	1- Pour envoyer des photos, des vidéos, du multimédia	
	2- Pour communiquer à l'international	
	3- Pour pouvoir discuter avec un groupe d'utilisateurs	
	4- Pour protéger vos données personnelles	
	5- Pour la simplicité d'usage	
	6- Autre raison	
	7- Ne sait pas / Ne répond pas	
WHYNOTFI	Pour quelle raison principale n’êtes-vous pas abonné à une offre à très haut débit (par fibre optique) à votre domicile ?	2012     2015
	1- Les abonnements sont trop chers	
	2- Cela demande des travaux d'aménagement de votre domicile que vous n'êtes pas prêt à réaliser	
	3- La fibre optique n'est pas disponible là où vous habitez	
	4- Cela ne vous intéresse pas car votre débit actuel vous convient	
	5- Autres raisons	
	6- Ne sait pas / Ne répond pas	
WHYNOTHG	Pour quelle raison principale n’utilisez-vous pas la messagerie instantanée ?	2016
	1- Vous ne connaissez pas ces applications ou vous ne savez pas vous en servir	
	2- Vous ne pouvez pas vous en servir (pas le terminal adapté ou le forfait nécessaire)	
	3- Pour des problèmes de confidentialité et de protection des données	
	4- Vous ne trouvez pas ça utile	
	5- Autre raison	
	6- Ne sait pas / Ne répond pas	
WHYNOTMOBINTER	Pourquoi ne vous connectez-vous pas à internet avec votre mobile ?	2009
	1- Votre mobile ne vous permet pas d'aller sur internet	
	2- C'est trop compliqué	
	3- Vous n'en ressentez pas le besoin	
	4- Cela revient trop cher (équipement à acheter, abonnement, etc.)	
	5- Cela ne marche pas bien : coupures, débit trop lent	
	6- Autre raison	
	7- Ne sait pas / Ne répond pas	
WHYNOWEB	[2016] Pour quelle raison principale ne disposez-vous pas de connexion internet à domicile ?	2016
	1- Les abonnements proposés sont trop chers	
	2- La connexion mobile à internet est suffisante	
	3- C'est trop compliqué à installer et à utiliser	
	4- Là où vous habitez, la connexion n'est pas assez rapide / pas disponible	
	5- Cela ne vous intéresse pas	
	6- Autre raison	
	7- Ne sait pas / Ne répond pas	
WHYNOWEB2011	[2011] Pour quelle raison principale ne disposez-vous pas de connexion internet à domicile ?	2010 2011
	1- Les abonnements proposés ou l'achat d'un terminal adéquat sont trop chers	
	2- L'achat d'un ordinateur est trop coûteux	
	3- C'est trop compliqué à installer et à utiliser	
	4- Là où vous habitez, la connexion n'est pas assez rapide / pas disponible	
	5- Cela ne vous intéresse pas	
	6- Vous vous connectez dans d'autres lieux : travail, cyber café	
	7- Autre raison	
	8- Ne sait pas / Ne répond pas	
WHYWEB	Pourquoi vous êtes-vous, à l'origine, équipé d'une connexion à internet à domicile ?	2010
	1- Pour votre activité professionnelle ou vos études	
	2- Pour vos loisirs	
	3- Pour communiquer avec votre famille, vos amis	
	4- Pour vos enfants	
	5- Pour vos démarches de la vie quotidienne	
	6- Pour une autre raison	
	7- Ne sait pas / Ne répond pas	
ZPD	Zone peu dense	2016
	1- Habite en zone peu dense	
	2- N'habite pas en zone peu dense	
